model,category,strategy,n_total,n_good,n_defective,accuracy,balanced_accuracy,precision,recall,f1,auroc,confusion_matrix,prompt_good,prompt_defective
clip,bottle,naive,83,20,63,0.7590361445783133,0.5,0.7590361445783133,1.0,0.863013698630137,0.9103174603174604,"[[0, 20], [0, 63]]",a photo of a good bottle,a photo of a defective bottle
clip,bottle,visual_primitive,83,20,63,0.7951807228915663,0.8650793650793651,1.0,0.7301587301587301,0.8440366972477065,0.903968253968254,"[[20, 0], [17, 46]]",a photo of a bottle with a smooth continuous surface,a photo of a bottle with a broken or interrupted surface
clip,bottle,category_specific,83,20,63,0.3614457831325301,0.5793650793650793,1.0,0.1587301587301587,0.273972602739726,0.8531746031746031,"[[20, 0], [53, 10]]",a top-down photo of a glass bottle showing a complete unbroken brown ring,"a top-down photo of a glass bottle with a chipped edge, broken rim, or foreign contamination inside"
clip,cable,naive,150,58,92,0.6133333333333333,0.5,0.6133333333333333,1.0,0.7603305785123967,0.6534857571214392,"[[0, 58], [0, 92]]",a photo of a good cable,a photo of a defective cable
clip,cable,visual_primitive,150,58,92,0.4,0.5108695652173914,1.0,0.0217391304347826,0.0425531914893617,0.7578710644677661,"[[58, 0], [90, 2]]",a photo of a cable with intact continuous structure,"a photo of a cable with broken, missing, or damaged structure"
clip,cable,category_specific,150,58,92,0.4066666666666667,0.5163043478260869,1.0,0.0326086956521739,0.0631578947368421,0.7383808095952022,"[[58, 0], [89, 3]]",a cross-section photo of an electrical cable with three distinct colored wires inside intact insulation,"a cross-section photo of an electrical cable with cut insulation, missing wires, swapped wire positions, or bent conductors"
clip,capsule,naive,132,23,109,0.8257575757575758,0.5,0.8257575757575758,1.0,0.9045643153526972,0.6601515755883527,"[[0, 23], [0, 109]]",a photo of a good capsule,a photo of a defective capsule
clip,capsule,visual_primitive,132,23,109,0.1742424242424242,0.5,0.0,0.0,0.0,0.6414040686078979,"[[23, 0], [109, 0]]",a photo of a capsule with uniform smooth surface and clear printing,"a photo of a capsule with cracks, dents, or damaged printing"
clip,capsule,category_specific,132,23,109,0.1742424242424242,0.5,0.0,0.0,0.0,0.5488631830873554,"[[23, 0], [109, 0]]",a photo of a pharmaceutical capsule with intact shape and clearly printed text,"a photo of a pharmaceutical capsule with cracks, scratches, holes, deformed shape, or faded print"
clip,carpet,naive,117,28,89,0.8547008547008547,0.7821027287319422,0.8913043478260869,0.9213483146067416,0.9060773480662984,0.9406099518459068,"[[18, 10], [7, 82]]",a photo of a good carpet,a photo of a defective carpet
clip,carpet,visual_primitive,117,28,89,0.2649572649572649,0.5168539325842697,1.0,0.0337078651685393,0.0652173913043478,0.794943820224719,"[[28, 0], [86, 3]]",a photo of a carpet with uniform undisturbed pattern,a photo of a carpet with disturbed or interrupted pattern
clip,carpet,category_specific,117,28,89,0.5384615384615384,0.6966292134831461,1.0,0.3932584269662921,0.5645161290322581,0.8972712680577849,"[[28, 0], [54, 35]]",a close-up photo of woven carpet fabric with a consistent regular texture,"a close-up photo of woven carpet fabric with cuts, holes, thread pulls, color stains, or metal contamination"
clip,grid,naive,78,21,57,0.7307692307692307,0.5,0.7307692307692307,1.0,0.8444444444444444,0.7176274018379281,"[[0, 21], [0, 57]]",a photo of a good grid,a photo of a defective grid
clip,grid,visual_primitive,78,21,57,0.4358974358974359,0.6140350877192983,1.0,0.2280701754385964,0.3714285714285714,0.8554720133667503,"[[21, 0], [44, 13]]",a photo of a metal grid with regular uniform mesh pattern,a photo of a metal grid with broken or disturbed mesh pattern
clip,grid,category_specific,78,21,57,0.2692307692307692,0.5,0.0,0.0,0.0,0.733500417710944,"[[21, 0], [57, 0]]",a top-down photo of a metallic wire grid with evenly spaced regular cells,"a top-down photo of a metallic wire grid with bent wires, broken cells, thread contamination, or metal debris"
clip,hazelnut,naive,110,40,70,0.6363636363636364,0.5,0.6363636363636364,1.0,0.7777777777777778,0.7385714285714287,"[[0, 40], [0, 70]]",a photo of a good hazelnut,a photo of a defective hazelnut
clip,hazelnut,visual_primitive,110,40,70,0.6272727272727273,0.6,0.7101449275362319,0.7,0.7050359712230215,0.6625,"[[20, 20], [21, 49]]",a photo of a hazelnut with uniform continuous surface color,"a photo of a hazelnut with color contrast, marks, or surface damage"
clip,hazelnut,category_specific,110,40,70,0.6363636363636364,0.5,0.6363636363636364,1.0,0.7777777777777778,0.6489285714285714,"[[0, 40], [0, 70]]",a photo of an intact whole hazelnut with uniform brown shell,"a photo of a hazelnut with cracks, cut marks, dark holes, or printed contamination on the shell"
clip,leather,naive,124,32,92,0.9435483870967742,0.890625,0.9292929292929292,1.0,0.9633507853403142,0.998641304347826,"[[25, 7], [0, 92]]",a photo of a good leather,a photo of a defective leather
clip,leather,visual_primitive,124,32,92,0.0967741935483871,0.1569293478260869,0.1153846153846153,0.0326086956521739,0.0508474576271186,0.0244565217391304,"[[9, 23], [89, 3]]",a photo of leather with uniform undisturbed surface,"a photo of leather with color contrast, marks, or foreign material"
clip,leather,category_specific,124,32,92,0.2580645161290322,0.5,0.0,0.0,0.0,0.9870923913043478,"[[32, 0], [92, 0]]",a close-up photo of tan-colored leather with consistent grain texture,"a close-up photo of leather with color patches, cuts, folds, poked holes, or visible glue drops"
clip,metal_nut,naive,115,22,93,0.808695652173913,0.5,0.808695652173913,1.0,0.8942307692307693,0.5351906158357771,"[[0, 22], [0, 93]]",a photo of a good metal nut,a photo of a defective metal nut
clip,metal_nut,visual_primitive,115,22,93,0.7913043478260869,0.5065982404692082,0.8108108108108109,0.967741935483871,0.8823529411764706,0.6637341153470185,"[[1, 21], [3, 90]]",a photo of a metal nut with uniform shape and color,a photo of a metal nut with shape distortion or color anomalies
clip,metal_nut,category_specific,115,22,93,0.4608695652173913,0.5972629521016618,0.8974358974358975,0.3763440860215054,0.5303030303030303,0.636852394916911,"[[18, 4], [58, 35]]",a top-down photo of a hexagonal metal nut with symmetric shape and uniform metallic finish,"a top-down photo of a metal nut that is bent, flipped upside down, color-stained, or has scratched surface"
clip,pill,naive,167,26,141,0.844311377245509,0.5,0.844311377245509,1.0,0.9155844155844156,0.469721767594108,"[[0, 26], [0, 141]]",a photo of a good pill,a photo of a defective pill
clip,pill,visual_primitive,167,26,141,0.844311377245509,0.5,0.844311377245509,1.0,0.9155844155844156,0.6433442444080743,"[[0, 26], [0, 141]]",a photo of a pill with uniform surface and consistent shape,"a photo of a pill with surface damage, discoloration, or shape defects"
clip,pill,category_specific,167,26,141,0.7664670658682635,0.5636933987997818,0.8642857142857143,0.8581560283687943,0.8612099644128114,0.6770321876704856,"[[7, 19], [20, 121]]",a photo of a round white pharmaceutical pill with clean surface and clear imprint,"a photo of a pharmaceutical pill with cracks, chips, color spots, scratches, contamination, or faded imprint"
clip,screw,naive,160,41,119,0.39375,0.4965156794425087,0.7391304347826086,0.2857142857142857,0.4121212121212121,0.4285714285714286,"[[29, 12], [85, 34]]",a photo of a good screw,a photo of a defective screw
clip,screw,visual_primitive,160,41,119,0.50625,0.5081984013117442,0.75,0.5042016806722689,0.6030150753768844,0.5238778438204549,"[[21, 20], [59, 60]]",a photo of a screw with intact thread and clean surface,a photo of a screw with damaged thread or surface anomalies
clip,screw,category_specific,160,41,119,0.74375,0.5,0.74375,1.0,0.8530465949820788,0.6343513014962082,"[[0, 41], [0, 119]]",a photo of a metal screw with a sharp intact tip and clean uniform thread,"a photo of a metal screw with a broken or manipulated tip, damaged thread, scratched head, or bent shaft"
clip,tile,naive,117,33,84,0.7692307692307693,0.5909090909090909,0.7567567567567568,1.0,0.8615384615384616,0.9545454545454546,"[[6, 27], [0, 84]]",a photo of a good tile,a photo of a defective tile
clip,tile,visual_primitive,117,33,84,0.8376068376068376,0.8869047619047619,1.0,0.7738095238095238,0.87248322147651,0.95995670995671,"[[33, 0], [19, 65]]",a photo of a tile with uniform undisturbed surface pattern,"a photo of a tile with cracks, contamination, or surface anomalies"
clip,tile,category_specific,117,33,84,0.6923076923076923,0.7857142857142857,1.0,0.5714285714285714,0.7272727272727273,0.943001443001443,"[[33, 0], [36, 48]]",a top-down photo of a ceramic tile with consistent surface pattern and clean edges,"a top-down photo of a ceramic tile with cracks, glue strips, rough surface, oil stains, or gray contamination"
clip,toothbrush,naive,42,12,30,0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,0.4472222222222222,"[[0, 12], [0, 30]]",a photo of a good toothbrush,a photo of a defective toothbrush
